kind,source_path,archive_path,lines,chars,sha256,headings
agents,brag/ai_codex/AGENTS.md,corpus/agents/brag/ai_codex/AGENTS.md,3,185,b5ef596bbceed3d0c4cfc75a9d51241dbfbe47d2e298b406ff2927990c8821f2,# Rules
agents,brag/ai_tools/AGENTS.md,corpus/agents/brag/ai_tools/AGENTS.md,37,2100,1651fb29258eebab7e65dafc579473fc02bd7fedf307ce5eee2e5048a0db3a6f,"# Repository Guidelines | ## Project Structure & Module Organization | ## Build, Test, and Development Commands | ## Coding Style & Naming Conventions | ## Testing Guidelines"
agents,brag/ai_tools/ai-tools/AGENTS.md,corpus/agents/brag/ai_tools/ai-tools/AGENTS.md,40,2038,e7fbb5880adaa9e0fd322a9d182b527b1619e4db75a38e6e8cadb159325fa989,# Repository Guidelines | ## Project Structure | ## Commands | ## Deployment | ## Environment
agents,capa-java-aws/AGENTS.md,corpus/agents/capa-java-aws/AGENTS.md,7,293,ee3ad536197125f50788c11c1a94cd527c3c0527f084e8de25a25d9c62f802d4,# Repository Guidelines
agents,capa-java/AGENTS.md,corpus/agents/capa-java/AGENTS.md,7,296,144583488f1656276ea3297b54116ffd41da277e2d6cb6f379f63476b1c407b5,# Repository Guidelines
agents,capa/AGENTS.md,corpus/agents/capa/AGENTS.md,31,1201,94b905b1d473b1a40a7098469e50a30048c0524b2a4731d4235364d027838cf4,# Capa Runtime Maintenance Guide | ## Project State | ## Before Editing | ## Useful Commands | ## Environment
agents,cloud-runtimes-golang/AGENTS.md,corpus/agents/cloud-runtimes-golang/AGENTS.md,7,287,c3381f5c1380b0d99b49798af4b2c12266bdaeb8959b2e88a0031ca40bb4308c,# Repository Guidelines
agents,cloud-runtimes-jvm/AGENTS.md,corpus/agents/cloud-runtimes-jvm/AGENTS.md,7,291,d970a15aac1f76b56cc37cd4001effd4362e4dd7059a809001929e7fa23a8807,# Repository Guidelines
agents,cloud-runtimes-python/AGENTS.md,corpus/agents/cloud-runtimes-python/AGENTS.md,7,302,1c35633edd6b3f40d158080287bfeea0dbbe7ba50739bc407dedd233ee359897,# Repository Guidelines
agents,docs/AGENTS.md,corpus/agents/docs/AGENTS.md,6,241,813898ea46ead02f357c9b8b7e5c096eeb4287903fd39d0da911fb723ee29720,# Repository Guidelines
agents,dog-agent/AGENTS.md,corpus/agents/dog-agent/AGENTS.md,35,1095,bcab3bc77e7081920c3b11d1bb6573e0ef677cacbe2b35eace02b0d09f56ac0e,# PawPal Dog Agent Maintenance Guide | ## Project State | ## Before Editing | ## Useful Commands | ## Environment
agents,english-agent/AGENTS.md,corpus/agents/english-agent/AGENTS.md,23,1068,b6a872a354c1d930f26b5f1bc415ec3e63c7cccc0df84521a336fa3525327923,# Repository Notes | ## Working Rules | ## Validation
agents,fish-agent/AGENTS.md,corpus/agents/fish-agent/AGENTS.md,23,1013,5921c78b4512e4493e3f1c681f405fd5c19a85c708b76e7fb20505d6fae7206b,# Repository Notes | ## Working Rules | ## Validation
agents,harness/AGENTS.md,corpus/agents/harness/AGENTS.md,31,1047,9d5144ef4afc06054c46bac3f0a7c004beacd10b99238b22c7c9f7f663320e95,# Harness Working Guide | ## Scope | ## Validation
agents,harness/mini-harness/AGENTS.md,corpus/agents/harness/mini-harness/AGENTS.md,6,237,428a0f3785aa361fc6d185e752eda5fc1515e6a054d7bdd6520a08ce26327f07,# Repository Guidelines
agents,health-agent/AGENTS.md,corpus/agents/health-agent/AGENTS.md,25,1246,e1600190cd571fb779327a9e31a19d9c0360715d010c83f623ef51b459f46a25,# Repository Notes | ## Working Rules | ## Validation
agents,ikun/.github/AGENTS.md,corpus/agents/ikun/_dot_github/AGENTS.md,6,259,e4df1cb9a3189e83ca56fd2ad9056045928c6a1e5293a5e941052685f12f0109,# Repository Guidelines
agents,ikun/Chinese-iKUN/AGENTS.md,corpus/agents/ikun/Chinese-iKUN/AGENTS.md,6,272,82fb3818d9df1eb6c644313526c77ac1fb3dd3d9c05eb06c0713d53568c7ab43,# Repository Guidelines
agents,ikun/CXK_IKUN_Dataset/AGENTS.md,corpus/agents/ikun/CXK_IKUN_Dataset/AGENTS.md,6,227,ccf31019936d527a4bfaababbe970760542edaf063d8df03de86cb4de04faed7,# Repository Guidelines
agents,ikun/ikun-2.5B/AGENTS.md,corpus/agents/ikun/ikun-2.5B/AGENTS.md,6,272,f512c07a1e29037ceb8fcfe362a1feede88a1b012c1711d1670a39bad23890bf,# Repository Guidelines
agents,ikun/ikun-basics/AGENTS.md,corpus/agents/ikun/ikun-basics/AGENTS.md,6,250,69181d003f0ed6e7194e2360256b0b4759bb77460d4bda4b00d4314429c0e270,# Repository Guidelines
agents,ikun/ikun-call/AGENTS.md,corpus/agents/ikun/ikun-call/AGENTS.md,21,825,66d0a64b6e51d4b7070603c04403cb811e70fcc8f0fd4879e5bd98f407359793,# Repository Guidelines | ## Project Shape | ## Commands | ## Environment | ## Editing Rules
agents,ikun/ikun-deploy/AGENTS.md,corpus/agents/ikun/ikun-deploy/AGENTS.md,6,252,fc138d2d4d403d276e10aca9a117082db1a987e2f16cf4c21a87d7c43bcc9ca8,# Repository Guidelines
agents,ikun/ikun-Distill/AGENTS.md,corpus/agents/ikun/ikun-Distill/AGENTS.md,6,246,e61227b8bc7740f8084676e82abc0d440e9e9a64c0df1ee2c39b6f6cc82b15d4,# Repository Guidelines
agents,ikun/ikun-DPO/AGENTS.md,corpus/agents/ikun/ikun-DPO/AGENTS.md,6,234,b003d6f7263f9560c23c2a87d3e0a09c4dc90522f80068d16a428a34a5d4fcad,# Repository Guidelines
agents,ikun/ikun-GRPO/AGENTS.md,corpus/agents/ikun/ikun-GRPO/AGENTS.md,6,252,cb5553be4b7e4477514977de3d4f9edc7758118e5a45a74cbcab473919d93dbe,# Repository Guidelines
agents,ikun/ikun-MoE/AGENTS.md,corpus/agents/ikun/ikun-MoE/AGENTS.md,6,245,9480cfcc7dc02a3fc397380e48c8214fd0c4b2c7939ac431ba3eb399c91676a3,# Repository Guidelines
